Category,Feature Name,Permission Slug,Type,Default State,Description,Affected Route(s) / Code,Technically Feasible?,How It Works,Notes
,,,,,,,,
ACCOUNT & SESSION,Log In,auth.login,Built-in,Granted,User can authenticate and start a session,POST /login,Yes — identity op,Laravel session auth — always available.,All accounts get this without exception.
ACCOUNT & SESSION,Log Out,auth.logout,Built-in,Granted,User can end their own session,POST /logout,Yes — identity op,Laravel session auth — always available.,Always granted.
ACCOUNT & SESSION,View Own Profile,profile.view,Built-in,Granted,User can see their own profile page,GET /profile,Yes — identity op,No permission check needed. Tied to authenticated session.,Identity operation — not permission-gated.
ACCOUNT & SESSION,Edit Own Profile,profile.edit,Built-in,Granted,User can update their own name / email / CNIC / phone / address,PATCH /profile,Yes — identity op,No permission check needed.,Identity operation — not permission-gated.
ACCOUNT & SESSION,Change Own Password,profile.change_password,Built-in,Granted,User can update their own password,PUT /password,Yes — identity op,No permission check needed.,Identity operation — not permission-gated.
ACCOUNT & SESSION,Delete Own Account,profile.delete_account,Built-in,Granted,User can permanently delete their own account,DELETE /profile,Yes — identity op,No permission check needed.,Identity operation — not permission-gated.
,,,,,,,,,
DASHBOARD,View Dashboard Page,dashboard.view,Built-in,Granted,User can access the main /dashboard page,GET /dashboard,Yes — route middleware,Add ->middleware('permission:dashboard.view') to the route.,Every account lands here after login.
DASHBOARD,View System-Wide Statistics,dashboard.view_system_stats,Grantable,NOT Granted,Reveals total users count / all devices count / system-wide online count on the dashboard,GET /dashboard (data layer),Yes — Blade + Controller,DashboardController checks can('dashboard.view_system_stats') before building the system stats array. @can in Blade hides the 4-card admin strip.,Hidden from regular users by default. Grant only to trusted operators.
,,,,,,,,,
DEVICES — VIEWING,View Own Devices,devices.view_own,Built-in,Granted,User can see the device list filtered to devices assigned to them,GET /devices,Yes — query scope,DeviceManagementController uses scopeForUser() when user lacks devices.view_any.,Every account gets this. Without it the device list would be empty and useless.
DEVICES — VIEWING,View ALL Devices (any user's),devices.view_any,Grantable,NOT Granted,User can see every device in the system regardless of owner,GET /devices,Yes — controller + policy,DeviceManagementController drops the user_id filter. DevicePolicy::view() allows access.,Grants admin-level device visibility. Required for operators managing the full fleet.
,,,,,,,,,
DEVICES — MANAGEMENT,Create / Register Device (any type),devices.create,Grantable,NOT Granted,User can fill in the Add Device form and register any new device type,GET /devices/create + POST /devices,Yes — route middleware + controller,Route gets ->middleware('permission:devices.create'). Controller checks permission before processing.,Do not grant to end-consumers by default. Grant to field engineers or operators.
DEVICES — MANAGEMENT,Edit Own Devices,devices.edit_own,Grantable,NOT Granted,User can edit name / MQTT topic / settings of devices they own,GET /devices/{device}/edit + PATCH /devices/{device},Yes — controller gate,DeviceManagementController checks can('devices.edit_own') && device->user_id === user->id.,Useful for prosumer accounts that self-manage their hardware.
DEVICES — MANAGEMENT,Edit ANY Device,devices.edit_any,Grantable,NOT Granted,User can edit any device regardless of owner,GET /devices/{device}/edit + PATCH /devices/{device},Yes — controller gate,DeviceManagementController checks can('devices.edit_any') as override.,Implies edit_own. Typically operator/admin level.
DEVICES — MANAGEMENT,Delete Own Devices,devices.delete_own,Grantable,NOT Granted,User can delete devices they own,DELETE /devices/{device},Yes — DevicePolicy + controller,DevicePolicy::delete() checks delete_own + ownership. Controller enforces it.,Destructive — grant with care.
DEVICES — MANAGEMENT,Delete ANY Device,devices.delete_any,Grantable,NOT Granted,User can delete any device regardless of owner,DELETE /devices/{device},Yes — DevicePolicy + controller,DevicePolicy::delete() checks delete_any as override.,Most destructive device permission. Typically only Super Admin level.
DEVICES — MANAGEMENT,Assign Device Owner,devices.assign_owner,Grantable,NOT Granted,User can set/change which user a device belongs to (the Assign To User dropdown in create/edit),POST /devices + PATCH /devices/{device},Yes — controller,DeviceManagementController shows the user dropdown only when can('devices.assign_owner') is true. Assignment logic is also gated.,Required for anyone who needs to provision devices to specific users.
,,,,,,,,,
METER SYSTEM — ACCESS,Use the Meter System,meter.access,Grantable,NOT Granted,Master switch — user is allowed to interact with meters at all. Without this permission the device dashboard for any meter type shows a 'not permitted' placeholder instead of the live view.,GET /devices/{device}/dashboard (meter type),Yes — DeviceDashboardController,DeviceDashboardController::show() checks can('meter.access') before calling showMeter(). If absent it returns the placeholder view with a 'no access' reason — identical to how inactive devices are handled today.,"This is the top-level gate for the entire meter system. All meter.* section permissions below are meaningless without this. Assign this first, then grant individual sections."
METER SYSTEM — PROVISIONING,Add Own Meter Device,meter.self_provision,Grantable,NOT Granted,"User can add/register their own meter-type devices. This is narrower than devices.create — it only permits the meter type and always assigns ownership to self (no Assign To User dropdown, no other device types).",GET /devices/create + POST /devices,Yes — controller logic,DeviceManagementController::store() checks: if user has devices.create → full create. If user has meter.self_provision → allow only if type==='meter' and force user_id to auth()->id(). Blade shows a stripped-down form with type locked to Meter.,"Use this when you want a user to onboard their own physical meter without giving them full device-management access. Super Admin still assigns meters directly when self-provisioning is not granted."
METER SYSTEM — PROVISIONING,Receive an Assigned Meter,devices.view_own,Built-in,Granted,"User can see meters assigned to them by Super Admin. This is already covered by devices.view_own — listed here for clarity: no extra permission needed. Super Admin creates the device and sets user_id to the target user.",GET /devices + GET /devices/{device}/dashboard,Yes — existing devices.view_own,No additional permission required. Devices assigned by Super Admin automatically appear in the user's device list.,Included here for documentation clarity only. No new permission slug needed.
METER SYSTEM — EDITING,Rename Own Meter (Name Only),meter.rename,Grantable,NOT Granted,"User can change ONLY the display name of their own meter device. All other fields — MQTT topic, availability topic, device type, active/inactive toggle, and assigned user — are locked. Only Super Admin (via devices.edit_own / devices.edit_any) can change those fields.",GET /devices/{device}/edit + PATCH /devices/{device},Yes — controller + view,"DeviceManagementController::edit() passes $nameOnly = $user->can('meter.rename') && !$user->can('devices.edit_own') && !$user->can('devices.edit_any') to the view. Blade renders all fields as read-only/hidden except name when $nameOnly is true. DeviceManagementController::update() enforces this server-side: when nameOnly mode, the validated array is stripped down to ['name' => $request->name] only — all other inputs are ignored regardless of what was POSTed.","This is the default editing capability for regular meter users. It lets them personalise their meter label (e.g. 'Kitchen Meter') without touching the hardware config. Super Admin retains exclusive control over MQTT topics, device type, and active state."
,,,,,,,,,
METER DASHBOARD — SECTION 1,View Live Data (KPI Cards),meter.live_data,Grantable,NOT Granted,"User can see the 8 live KPI cards at the top of the meter dashboard: Voltage, Current, Power, Computed Energy, PZEM Energy, Frequency, Power Factor, Last Reading timestamp. These are always the most recent snapshot — independent of any time range.",GET /devices/{device}/dashboard + GET /api/devices/{device}/status,Yes — Blade + JS + API,"DeviceDashboardController::showMeter() passes $canViewLiveData = $user->can('meter.live_data') to the view. Blade wraps the .kpi-grid div in @if($canViewLiveData). The JS updateKPIs() and the status poll (API_STATUS) are conditionally skipped if the section is not rendered.","Without this, the user still sees the device header (name, health pill, availability pill) and status banners — they just can't see the numeric readings. This is intentional: health state is informational, not a data privilege."
METER DASHBOARD — SECTION 2,View Charts (Graphs),meter.charts,Grantable,NOT Granted,"User can see the 5 Chart.js charts: Voltage+Current (dual axis), Active Power, Energy Comparison (Computed vs PZEM), Grid Frequency, Power Factor bars. Chart data is sampled up to 500 points over the selected time range.",GET /devices/{device}/dashboard + GET /api/devices/{device}/readings/chart,Yes — Blade + JS + API,"DeviceDashboardController::showMeter() passes $canViewCharts. Blade wraps the .section-wrap.charts-grid in @if($canViewCharts). JS skips initializing Chart.js and calling API_CHART if the canvas elements are absent. DeviceReadingController::chart() adds abort_unless(can('meter.charts')) check.","Chart.js library script tag is also conditionally pushed in @push('styles') only when $canViewCharts is true — no unnecessary CDN load."
METER DASHBOARD — SECTION 3,View Historical Readings (Table),meter.history,Grantable,NOT Granted,"User can see the paginated readings table with timestamp, voltage, current, power, computed energy, PZEM energy, frequency, PF columns. Navigable by page (100 rows/page). Affected by the time range selector.",GET /devices/{device}/dashboard + GET /api/devices/{device}/readings,Yes — Blade + JS + API,"DeviceDashboardController::showMeter() passes $canViewHistory. Blade wraps the readings .section-wrap and .pagination-bar in @if($canViewHistory). JS skips table fetch and pagination setup if the table element is absent. DeviceReadingController::index() adds abort_unless(can('meter.history')) check.",The range selector bar (1H / 6H / 24H / Today / 7D / 30D / All + custom picker) is shown only if EITHER meter.charts OR meter.history is granted — both sections share it.
METER DASHBOARD — SHARED,Use the Time Range Selector,meter.range_selector,(derived),(derived),Controls the time window for charts and the historical table. This is NOT a separate permission — it is shown automatically when at least one of meter.charts or meter.history is granted.,GET /devices/{device}/dashboard (front-end control only),Yes — Blade variable,"$canShowRangeBar = $canViewCharts || $canViewHistory passed to view. Blade wraps the .controls-bar and .custom-range-card in @if($canShowRangeBar).","No new permission slug needed. The range bar has no value if neither section it controls is visible."
METER DASHBOARD — VIEW MODE,Full Operator Dashboard,meter.full_dashboard,Grantable,NOT Granted (in prosumer bundle),"User gets the full-resolution operator dashboard (raw minute-level readings, all 8 KPI cards, monthly/daily report panels). WITHOUT it a meter.access user gets the SIMPLIFIED consumer dashboard: 4 KPI tiles (Voltage, Power, Monthly Units, Daily Units) plus a click-to-expand Usage History section served as hour/day aggregate buckets (units + avg V/W).",GET /devices/{device}/dashboard + GET /api/devices/{device}/readings + GET /api/devices/{device}/readings/aggregate,Yes — controller + view + API,"DeviceDashboardController routes on User::hasFullMeterDashboard() (meter.full_dashboard OR meter.charts — the charts opt-in only exists on the full view) to meter.blade.php vs meter-simple.blade.php. DeviceReadingController::index() additionally requires the same predicate, so raw rows cannot be fetched by hand-crafted requests; aggregate() serves the simplified history under meter.access + meter.history from the meter_hourly_consumption / meter_daily_consumption rollups.","Product decision 2026-07-14. In the prosumer bundle; deliberately NOT in consumer. Hour rows are pruned at 180 days (meters:prune-hourly-consumption); older windows degrade to day buckets automatically."
,,,,,,,,,
USER MANAGEMENT,View Users List,users.view_list,Grantable,NOT Granted,User can access the paginated /users page with search and filter,GET /users,Yes — route middleware + controller,Route uses ->middleware('permission:users.view_list'). Controller abort_unless check.,Entry-level user management permission.
USER MANAGEMENT,View User Profile,users.view_profile,Grantable,NOT Granted,User can open an individual user's detail page showing their info and devices,GET /users/{user},Yes — controller gate,abort_unless(can('users.view_profile')) at top of show().,Depends on users.view_list to navigate to the page.
USER MANAGEMENT,Create User Accounts,users.create,Grantable,NOT Granted,User can access the Add User form and create new user accounts,GET /users/create + POST /users,Yes — route middleware + controller,Route uses ->middleware('permission:users.create'). New accounts automatically get built-in permissions on creation.,New accounts still have only built-in permissions — separate grant required after creation.
USER MANAGEMENT,Edit User Profiles,users.edit,Grantable,NOT Granted,User can edit another user's name / email / CNIC / phone / address,GET /users/{user}/edit + PATCH /users/{user},Yes — controller gate,abort_unless(can('users.edit')) in edit() and update().,Does NOT include changing permissions — that requires users.manage_permissions.
USER MANAGEMENT,Delete User Accounts,users.delete,Grantable,NOT Granted,User can permanently delete other users and their data,DELETE /users/{user},Yes — role:super_admin middleware,Route kept under role:super_admin middleware. Only Super Admin can delete accounts.,Very destructive. Reserved for Super Admin only.
USER MANAGEMENT,Manage User Permissions,users.manage_permissions,Grantable,NOT Granted,User can open the per-user permission management screen and toggle each permission on or off,GET /users/{user}/permissions + PATCH /users/{user}/permissions,Yes — new PermissionController,New PermissionController::show() and update(). Route under role:super_admin. Accessible via 'Manage Permissions' link on users/show.blade.php.,The most powerful non-Super-Admin permission. Granting it is effectively delegating Super Admin authority.
,,,,,,,,,
API — READ,Read Devices via API,api.devices.read,Built-in,Granted,Token can call GET /api/devices and GET /api/devices/{id} and GET /api/devices/{id}/status,GET /api/devices GET /api/devices/{id} GET /api/devices/{id}/status,Yes — API controller gate,Api/DeviceController checks hasPermissionTo('api.devices.read' guard:'sanctum'). Device list still filtered by ownership unless devices.view_any is also granted.,Built-in for API consumers. Requires Sanctum token.
API — READ,Read Meter Readings via API,api.readings.read,Built-in,Granted,Token can call the readings and chart data endpoints,GET /api/devices/{id}/readings GET /api/devices/{id}/readings/chart GET /api/devices/{id}/snapshot,Yes — API controller gate,DeviceReadingController checks hasPermissionTo('api.readings.read' guard:'sanctum').,Built-in. Required for any dashboard or mobile app consuming live data.
API — WRITE,Write Devices via API,api.devices.write,Grantable,NOT Granted,Token can call POST /api/devices and DELETE /api/devices/{id},POST /api/devices DELETE /api/devices/{id},Yes — DevicePolicy + API controller,DevicePolicy::create() and delete() check api.devices.write. Triggered by $this->authorize() calls already in Api/DeviceController.,Grant only to provisioning services or trusted automation. Destructive on DELETE.