Sr.,Task,Deadline,Sub Task,Sub Task Deadline,Responsible,Project,Priority,Status,Progress,Key Remarks / Issues,Escalation,
1,"PHP, IoT & Foundations",27-Feb-2026,"Environment setup (Laravel, Composer, MySQL, VS Code, Git)",25-Feb-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Foundation phase closed successfully before March implementation work started.,-,
,,,"PHP basics practice (forms, functions, DB connection)",26-Feb-2026,,,,,,,,
,,,"IoT fundamentals study (smart homes, industrial sensors, energy meters)",26-Feb-2026,,,,,,,,
,,,Initial MySQL project structure planning,27-Feb-2026,,,,,,,,
,,,First sample/sensor data entry into DB,27-Feb-2026,,,,,,,,
2,Database Design & Migrations,03-Mar-2026,Create devices table,02-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,"Core schema completed for devices, history, and latest-state caching.",-,
,,,Create meter_readings table,03-Mar-2026,,,,,,,,
,,,Create latest_meter_states table,03-Mar-2026,,,,,,,,
,,,"Add foreign keys, indexes, and duplicate-protection rules",03-Mar-2026,,,,,,,,
3,MQTT Integration Setup,05-Mar-2026,Install MQTT client package,04-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Broker connectivity established from Laravel.,-,
,,,Configure broker connection and credentials,04-Mar-2026,,,,,,,,
,,,Test broker connectivity from Laravel,05-Mar-2026,,,,,,,,
4,MQTT Consumer Development,06-Mar-2026,Create mqtt:consume-meter command,06-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Consumer command created and verified with live payload reception.,-,
,,,Subscribe to active device topic(s),06-Mar-2026,,,,,,,,
,,,Receive MQTT payloads,06-Mar-2026,,,,,,,,
,,,Parse JSON payload into reading fields,06-Mar-2026,,,,,,,,
5,Data Storage Implementation,09-Mar-2026,Store incoming meter data in meter_readings,09-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,End-to-end MQTT to DB path completed.,-,
,,,Update latest_meter_states on every valid reading,09-Mar-2026,,,,,,,,
,,,Update devices.last_seen_at,09-Mar-2026,,,,,,,,
6,Debugging & Issue Fixing,11-Mar-2026,Fix device/topic matching issues,10-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Initial stabilization completed across ingestion and dashboard flow.,-,
,,,Fix route/data issues affecting dashboard reads,11-Mar-2026,,,,,,,,
,,,Resolve event/data display inconsistencies,11-Mar-2026,,,,,,,,
7,Initial Dashboard Integration,13-Mar-2026,Fetch data from API/DB for dashboard,12-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Single-device dashboard delivered with realtime behavior.,-,
,,,"Show live KPIs, charts, and readings table",13-Mar-2026,,,,,,,,
,,,Verify realtime updates via Reverb/Echo,13-Mar-2026,,,,,,,,
8,System Testing (Single Device),19-Mar-2026,Test MQTT -> DB -> Dashboard end-to-end flow,17-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,95%,Core single-device flow validated, structured edge-case logging moved to later improvement work.,-
,,,Validate stored data against source feed,18-Mar-2026,,,,,,,,
,,,Verify dashboard behavior after restart / reload,19-Mar-2026,,,,,,,,
9,System Review & Next-Phase Planning,20-Mar-2026,Review completed pilot architecture,20-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Pilot review completed before Eid break, multi-device backlog defined.,-
,,,Identify multi-device and validation gaps,20-Mar-2026,,,,,,,,
,,,Prepare next implementation direction,20-Mar-2026,,,,,,,,
10,Eid Holiday Break / Non-Working Window,23-Mar-2026,Eid-ul-Fitr holiday,21-Mar-2026,-,IoT Webapp Development,-,Holiday,-,Public holidays excluded from the working schedule.,-,
,,,Eid-ul-Fitr holiday,22-Mar-2026,,,,,,,,
,,,Pakistan Day / Eid public holiday overlap,23-Mar-2026,,,,,,,,
11,Multi-Device Support & Testing,26-Mar-2026,Review consumer behavior for all active devices,24-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Confirmed that ingestion must remain global while display stays per-device.,-,
,,,Verify per-device readings API direction,25-Mar-2026,,,,,,,,
,,,Plan multi-device DB/UI behavior,26-Mar-2026,,,,,,,,
12,Data Validation & Normalization,30-Mar-2026,Review invalid JSON handling strategy,27-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,90%,Validation strategy reviewed, structured logging remained a later enhancement.,-
,,,Review duplicate payload handling,30-Mar-2026,,,,,,,,
,,,Normalize latest-state update logic,30-Mar-2026,,,,,,,,
13,Latest State & API Development,01-Apr-2026,Improve latest-state consistency,31-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Per-device readings endpoint and latest-state behavior stabilized.,-,
,,,Fix dashboard readings API routing behavior,01-Apr-2026,,,,,,,,
,,,Align API output with dashboard needs,01-Apr-2026,,,,,,,,
14,Dashboard Reliability & Error Handling,03-Apr-2026,Repair stale realtime dashboard wiring,02-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Dashboard polling and realtime flow made reliable for pilot usage.,-,
,,,Improve background refresh behavior,03-Apr-2026,,,,,,,,
,,,Strengthen failed-refresh and bad-state handling,03-Apr-2026,,,,,,,,
15,"Documentation, Setup & Handoff",08-Apr-2026,Clarify .env usage and MySQL-based setup,06-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Setup guidance and project continuity documents completed.,-,
,,,Write run instructions and verification flow,07-Apr-2026,,,,,,,,
,,,Create full project handoff documentation,08-Apr-2026,,,,,,,,
16,"PPT Analysis, Feasibility & Roadmap",10-Apr-2026,Analyze full PPT project scope vs current codebase,09-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Project direction updated from pilot dashboard to platform roadmap.,-,
,,,Assess whether full platform is achievable,09-Apr-2026,,,,,,,,
,,,Build weekly roadmap and Week 1 verification plan,10-Apr-2026,,,,,,,,
17,Multi-Meter Planning & UX Definition,14-Apr-2026,Define frontend add/remove device behavior,13-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,"Final UX model approved: store all devices, show only selected device.",-,
,,,Define delete cascade expectations,13-Apr-2026,,,,,,,,
,,,Define selected-device-only dashboard behavior,14-Apr-2026,,,,,,,,
18,Multi-Meter Implementation,28-Apr-2026,Add selectable dashboard controller flow,15-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Multi-meter dashboard selection and device management fully implemented and verified end-to-end; UAT confirmed all device flows operational on 28-Apr-2026.,-,
,,,Add device management route/controller/page,16-Apr-2026,,,,,,,,
,,,Add create/delete API flow with comments,17-Apr-2026,,,,,,,,
,,,Add dashboard selector and realtime filtering,20-Apr-2026,,,,,,,,
,,,Add tests and verification updates,21-Apr-2026,,,,,,,,
,,,Verify multi-meter flow and consumer restart behavior,28-Apr-2026,,,,,,,,
19,Final UAT / Closing Window,28-Apr-2026,Verify old and new meter visibility in UI,22-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,"All UAT scenarios verified on 28-Apr-2026: meter visibility, add/delete flow, consumer restart, and selected-device-only dashboard all fully operational.",-,
,,,Verify add/delete flow plus consumer restart operational step,23-Apr-2026,,,,,,,,
,,,Verify selected-device-only dashboard with all-device background ingestion,24-Apr-2026,,,,,,,,
,,,Sign-off: end-to-end smoke test across all device flows,28-Apr-2026,,,,,,,,
20,Core Authentication System,05-May-2026,Install and scaffold Laravel Breeze authentication,29-Apr-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,"Full Breeze-based authentication implemented covering login, logout, registration, password reset, email verification, and profile management; sessions and CSRF correctly wired.",-,
,,,Implement AuthenticatedSessionController (login/logout),30-Apr-2026,,,,,,,,
,,,Implement RegisteredUserController (registration flow),01-May-2026,,,,,,,,
,,,Implement PasswordResetLinkController and NewPasswordController,02-May-2026,,,,,,,,
,,,Implement EmailVerificationPromptController and VerifyEmailController,03-May-2026,,,,,,,,
,,,Implement ConfirmablePasswordController and PasswordController,04-May-2026,,,,,,,,
,,,Build ProfileController and ProfileUpdateRequest,04-May-2026,,,,,,,,
,,,Scaffold auth Blade views (login / register / forgot-password / reset / verify-email),05-May-2026,,,,,,,,
,,,End-to-end authentication flow test,05-May-2026,,,,,,,,
21,Role-Based Access Control (RBAC),12-May-2026,Define role enum (user / admin / super_admin) in codebase,06-May-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,"Three-tier role hierarchy (user / admin / super_admin) enforced at migration, middleware, and model levels; backward-compatible isAdmin() retained; custom user profile fields added.",-,
,,,Add role column migration to users table,07-May-2026,,,,,,,,
,,,Implement User model helpers: isSuperAdmin() / isAdminOrAbove() / canAccessDevice(),08-May-2026,,,,,,,,
,,,Create AdminMiddleware (protects admin+ routes),09-May-2026,,,,,,,,
,,,Create SuperAdminMiddleware (protects super_admin-only routes),09-May-2026,,,,,,,,
,,,Register and apply middleware to route groups in web.php,10-May-2026,,,,,,,,
,,,Add custom user fields migration: cnic / phone_number / address,12-May-2026,,,,,,,,
22,User Management Admin Panel,15-May-2026,Create UserManagementController (index / create / store / show / edit / update),13-May-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Complete admin panel for user management delivered; role assignment and user deletion restricted to super_admin; regular users cannot access any /users/* route.,-,
,,,Build users/index.blade.php with search and filter,13-May-2026,,,,,,,,
,,,Build users/create.blade.php and users/edit.blade.php forms,14-May-2026,,,,,,,,
,,,Build users/show.blade.php detail view,14-May-2026,,,,,,,,
,,,Wire role assignment and role promotion routes (super_admin only),15-May-2026,,,,,,,,
,,,Implement user delete flow with guard (super_admin only),15-May-2026,,,,,,,,
23,Device Authorization & Policy,19-May-2026,Create DevicePolicy (view / edit / delete / create methods),15-May-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Full multi-tenant device isolation implemented; admins bypass ownership checks; regular users see only their own devices; policy applied consistently across web and API routes via Sanctum.,-,
,,,Implement canAccessDevice() on User model,16-May-2026,,,,,,,,
,,,Register DevicePolicy in AuthServiceProvider,16-May-2026,,,,,,,,
,,,Scope device queries in DeviceManagementController by ownership for non-admins,17-May-2026,,,,,,,,
,,,Update DeviceManagementController to enforce policy on all actions,17-May-2026,,,,,,,,
,,,Update API device endpoints (Api/DeviceController) for Sanctum + policy,19-May-2026,,,,,,,,
24,Role-Aware Dashboard & Navigation,01-Jun-2026,Update main DashboardController for role-appropriate statistics,19-May-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Dashboard and navigation fully role-aware; admins see platform-wide KPIs (total devices/users); regular users see own device summary only; reusable badge and card components built for future scalability.,-,
,,,Add admin-only platform-wide stats panel to dashboard.blade.php,20-May-2026,,,,,,,,
,,,Update layouts/navigation.blade.php with role-gated menu items,21-May-2026,,,,,,,,
,,,Build role-badge and status-badge Blade components,21-May-2026,,,,,,,,
,,,Build device-card and stats-card reusable components,22-May-2026,,,,,,,,
,,,Refine sidebar (sidebar.blade.php) for admin vs regular user views,23-May-2026,,,,,,,,
,,,Fix DeviceReadingController historical readings and chart API endpoints,01-Jun-2026,,,,,,,,
,,,Smoke-test full role-aware flow across all three role tiers,01-Jun-2026,,,,,,,,
25,Server-Side Pagination for Meter Readings,02-Jun-2026,Add TABLE_PER_PAGE = 100 constant and paginated query mode to DeviceReadingController::index(),01-Jun-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,"Server-side pagination implemented for the meter readings table; 100 rows per page, cursor-based live-refresh mode preserved for backward compatibility; frontend pagination controls and row-range display fully wired.",-,
,,,"Return { data, meta: { current_page, last_page, per_page, total } } JSON envelope for ?page=N requests",01-Jun-2026,,,,,,,,
,,,Preserve backward-compatible cursor/refresh mode (?after_received_at / ?after_id) for live updates,01-Jun-2026,,,,,,,,
,,,Add goToPage() function and tablePage / tableTotalPages state variables to meter.blade.php,02-Jun-2026,,,,,,,,
,,,Build Previous/Next pagination controls and Page X of Y display in meter dashboard,02-Jun-2026,,,,,,,,
,,,Show row range label (Showing rows X to Y of Z total) in readings table header,02-Jun-2026,,,,,,,,
,,,Auto-recalculate total pages and prepend new readings to page 1 on realtime push,02-Jun-2026,,,,,,,,
26,FGAC – Data Layer & Permission Resolution,09-Jun-2026,Create permissions table migration (key / label / description / group columns),03-Jun-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Pending,0%,"Foundation sprint: two new tables (permissions + user_permissions pivot), Permission model, seeder for 9 defined keys, hasPermission/grantPermission/revokePermission on User, and parametric PermissionMiddleware. super_admin unconditionally bypasses all permission checks.",-,
,,,Create user_permissions pivot migration (user_id / permission_key / granted_by / granted_at),03-Jun-2026,,,,,,,,
,,,Create Permission Eloquent model,04-Jun-2026,,,,,,,,
,,,Create PermissionSeeder — seed all 9 defined permission keys,04-Jun-2026,,,,,,,,
,,,Add permissions() BelongsToMany relationship to User model via user_permissions pivot,05-Jun-2026,,,,,,,,
,,,Add hasPermission(string $key): bool to User model (super_admin short-circuits to true),05-Jun-2026,,,,,,,,
,,,Add grantPermission(string $key / User $grantedBy): void to User model,06-Jun-2026,,,,,,,,
,,,Add revokePermission(string $key): void to User model,06-Jun-2026,,,,,,,,
,,,Create parametric PermissionMiddleware (permission:view_all_devices syntax),07-Jun-2026,,,,,,,,
,,,Register PermissionMiddleware in bootstrap/app.php,07-Jun-2026,,,,,,,,
,,,Update DevicePolicy to use hasPermission('view_all_devices') / hasPermission('manage_any_device'),08-Jun-2026,,,,,,,,
,,,Update DeviceReadingController inline checks to use hasPermission('view_all_readings'),09-Jun-2026,,,,,,,,
,,,Unit tests for hasPermission / grantPermission / revokePermission,09-Jun-2026,,,,,,,,
27,FGAC – Route & Middleware Rewiring,16-Jun-2026,Replace middleware('admin') on user management routes with middleware('permission:manage_users'),10-Jun-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Pending,0%,All route-level and controller-level authorization migrated from role enum checks to permission key checks; navigation and sidebar conditionally rendered by user's active permissions; full integration test suite for granted vs denied scenarios.,-,
,,,Replace middleware('superadmin') on role routes with middleware('permission:assign_privileges'),10-Jun-2026,,,,,,,,
,,,Gate user delete routes with middleware('permission:delete_users'),11-Jun-2026,,,,,,,,
,,,Gate platform-wide stats in DashboardController with hasPermission('view_system_stats'),11-Jun-2026,,,,,,,,
,,,Gate all-device list in DeviceManagementController with hasPermission('view_all_devices'),12-Jun-2026,,,,,,,,
,,,Gate API device CRUD in Api/DeviceController with hasPermission('manage_any_device'),12-Jun-2026,,,,,,,,
,,,Gate all-device alert events view with hasPermission('view_all_alerts'),13-Jun-2026,,,,,,,,
,,,Gate ingestion events management with hasPermission('manage_ingestion_events'),13-Jun-2026,,,,,,,,
,,,Update layouts/navigation.blade.php — menu items rendered by hasPermission(),14-Jun-2026,,,,,,,,
,,,Update sidebar.blade.php — sections shown/hidden by permission,14-Jun-2026,,,,,,,,
,,,Update dashboard.blade.php — admin stats panel gated by view_system_stats permission,15-Jun-2026,,,,,,,,
,,,Integration test: user with view_all_devices can list all devices,16-Jun-2026,,,,,,,,
,,,Integration test: user with assign_privileges can access privilege assignment UI,16-Jun-2026,,,,,,,,
28,FGAC – Privilege Management UI,23-Jun-2026,Add privileges() and updatePrivileges() to UserManagementController,17-Jun-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Pending,0%,Super admin UI for per-user privilege assignment: grouped toggle controls with granted-by/granted-at audit metadata; privilege chips on user list and detail views; guards prevent privilege self-escalation and super_admin modification; all changes written to audit log.,-,
,,,Add routes: GET and POST /users/{user}/privileges (super_admin or assign_privileges only),17-Jun-2026,,,,,,,,
,,,Build users/privileges.blade.php — grouped permission toggles with labels and descriptions,18-Jun-2026,,,,,,,,
,,,Show Granted By and Granted At metadata per permission on privileges page,18-Jun-2026,,,,,,,,
,,,Add privilege summary badge/column to users/index.blade.php,19-Jun-2026,,,,,,,,
,,,Add privilege chips to users/show.blade.php detail view,19-Jun-2026,,,,,,,,
,,,Guard: prevent granting assign_privileges to self via UI and controller,20-Jun-2026,,,,,,,,
,,,Guard: prevent any modification of super_admin users' privileges (UI + controller),20-Jun-2026,,,,,,,,
,,,Add audit log entry when privileges change (granted_by / timestamp recorded),21-Jun-2026,,,,,,,,
,,,End-to-end test: super_admin grants view_all_devices to user → user sees all devices,22-Jun-2026,,,,,,,,
,,,End-to-end test: privilege revoked → access denied immediately on next request,22-Jun-2026,,,,,,,,
,,,Full regression test: super_admin flows and MQTT pipeline unaffected,23-Jun-2026,,,,,,,,
